key,notes,en,zh-Hans,zh-Hant,ja,ko,fr,de,es
"card.card_booster_yard.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Booster/Card_Booster_Yard.asset. Non-English values are placeholders until reviewed.","Logistics Yard","物流场","Logistics Yard","Logistics Yard","Logistics Yard","Logistics Yard","Logistics Yard","Logistics Yard"
"card.card_booster_yard.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Booster/Card_Booster_Yard.asset. Non-English values are placeholders until reviewed.","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","用于大件回收物的清理分拣场。给街区一点喘息空间。","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","A cleared sorting yard for bulky salvage. Gives the district room to breathe.","A cleared sorting yard for bulky salvage. Gives the district room to breathe."
"card.card_chest_woodenchest.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Chest/Card_Chest_WoodenChest.asset. Non-English values are placeholders until reviewed.","Encrypted Cache","加密缓存","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache"
"card.card_chest_woodenchest.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Chest/Card_Chest_WoodenChest.asset. Non-English values are placeholders until reviewed.","A sealed crate from before the blackout. Useful if you can open it.","断电前留下的密封箱。只要能打开，就很有用。","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it."
"card.card_enclosure_creaturecage.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Enclosure/Card_Enclosure_CreatureCage.asset. Non-English values are placeholders until reviewed.","Drone Cage","无人机笼","Drone Cage","Drone Cage","Drone Cage","Drone Cage","Drone Cage","Drone Cage"
"card.card_enclosure_creaturecage.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Enclosure/Card_Enclosure_CreatureCage.asset. Non-English values are placeholders until reviewed.","A tight containment frame for damaged drones and hostile small units.","用于受损无人机和敌对小型单元的狭窄收容框。","A tight containment frame for damaged drones and hostile small units.","A tight containment frame for damaged drones and hostile small units.","A tight containment frame for damaged drones and hostile small units.","A tight containment frame for damaged drones and hostile small units.","A tight containment frame for damaged drones and hostile small units.","A tight containment frame for damaged drones and hostile small units."
"card.card_enclosure_creaturepen.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Enclosure/Card_Enclosure_CreaturePen.asset. Non-English values are placeholders until reviewed.","Containment Pen","收容栏","Containment Pen","Containment Pen","Containment Pen","Containment Pen","Containment Pen","Containment Pen"
"card.card_enclosure_creaturepen.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Enclosure/Card_Enclosure_CreaturePen.asset. Non-English values are placeholders until reviewed.","A fenced holding zone for dangerous finds. It keeps problems measurable.","用于危险发现物的围栏式暂存区。它让问题变得可计量。","A fenced holding zone for dangerous finds. It keeps problems measurable.","A fenced holding zone for dangerous finds. It keeps problems measurable.","A fenced holding zone for dangerous finds. It keeps problems measurable.","A fenced holding zone for dangerous finds. It keeps problems measurable.","A fenced holding zone for dangerous finds. It keeps problems measurable.","A fenced holding zone for dangerous finds. It keeps problems measurable."
"card.card_grower_farm.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Grower/Card_Grower_Farm.asset. Non-English values are placeholders until reviewed.","Hydroponic Farm","水培农场","Hydroponic Farm","Hydroponic Farm","Hydroponic Farm","Hydroponic Farm","Hydroponic Farm","Hydroponic Farm"
"card.card_grower_farm.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Grower/Card_Grower_Farm.asset. Non-English values are placeholders until reviewed.","A scaled food system for steady ration production. Power hungry, worth it.","用于稳定口粮生产的扩展食物系统。耗电，但值得。","A scaled food system for steady ration production. Power hungry, worth it.","A scaled food system for steady ration production. Power hungry, worth it.","A scaled food system for steady ration production. Power hungry, worth it.","A scaled food system for steady ration production. Power hungry, worth it.","A scaled food system for steady ration production. Power hungry, worth it.","A scaled food system for steady ration production. Power hungry, worth it."
"card.card_grower_planterbox.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Grower/Card_Grower_PlanterBox.asset. Non-English values are placeholders until reviewed.","Nutrient Tray","营养托盘","Nutrient Tray","Nutrient Tray","Nutrient Tray","Nutrient Tray","Nutrient Tray","Nutrient Tray"
"card.card_grower_planterbox.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Grower/Card_Grower_PlanterBox.asset. Non-English values are placeholders until reviewed.","A small clean tray for controlled growth. Simple, stackable, reliable.","用于受控生长的小型洁净托盘。简单、可堆叠、可靠。","A small clean tray for controlled growth. Simple, stackable, reliable.","A small clean tray for controlled growth. Simple, stackable, reliable.","A small clean tray for controlled growth. Simple, stackable, reliable.","A small clean tray for controlled growth. Simple, stackable, reliable.","A small clean tray for controlled growth. Simple, stackable, reliable.","A small clean tray for controlled growth. Simple, stackable, reliable."
"card.card_research_library.name","Source English from Assets/Fortstack/Resources/Cards/Specials/Research/Card_Research_Library.asset. Non-English values are placeholders until reviewed.","Kernel Archive","内核档案库","Kernel Archive","Kernel Archive","Kernel Archive","Kernel Archive","Kernel Archive","Kernel Archive"
"card.card_research_library.description","Source English from Assets/Fortstack/Resources/Cards/Specials/Research/Card_Research_Library.asset. Non-English values are placeholders until reviewed.","A secured archive node for new blueprints. Knowledge survives when power does.","用于新蓝图的安全档案节点。知识会像电力一样延续。","A secured archive node for new blueprints. Knowledge survives when power does.","A secured archive node for new blueprints. Knowledge survives when power does.","A secured archive node for new blueprints. Knowledge survives when power does.","A secured archive node for new blueprints. Knowledge survives when power does.","A secured archive node for new blueprints. Knowledge survives when power does.","A secured archive node for new blueprints. Knowledge survives when power does."
"card.card_anvil.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Anvil.asset. Non-English values are placeholders until reviewed.","Fabricator Bench","制造工作台","Fabricator Bench","Fabricator Bench","Fabricator Bench","Fabricator Bench","Fabricator Bench","Fabricator Bench"
"card.card_anvil.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Anvil.asset. Non-English values are placeholders until reviewed.","A heavy bench for weapons, plates, and field repairs.","用于武器、板甲和现场修复的重型工作台。","A heavy bench for weapons, plates, and field repairs.","A heavy bench for weapons, plates, and field repairs.","A heavy bench for weapons, plates, and field repairs.","A heavy bench for weapons, plates, and field repairs.","A heavy bench for weapons, plates, and field repairs.","A heavy bench for weapons, plates, and field repairs."
"card.card_bonfire.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Bonfire.asset. Non-English values are placeholders until reviewed.","Heat Coil","热能线圈","Heat Coil","Heat Coil","Heat Coil","Heat Coil","Heat Coil","Heat Coil"
"card.card_bonfire.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Bonfire.asset. Non-English values are placeholders until reviewed.","A hot utility coil for cooking and emergency warmth.","用于烹饪和应急取暖的高温公用线圈。","A hot utility coil for cooking and emergency warmth.","A hot utility coil for cooking and emergency warmth.","A hot utility coil for cooking and emergency warmth.","A hot utility coil for cooking and emergency warmth.","A hot utility coil for cooking and emergency warmth.","A hot utility coil for cooking and emergency warmth."
"card.card_clayquarry.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_ClayQuarry.asset. Non-English values are placeholders until reviewed.","Slurry Pump","浆料泵","Slurry Pump","Slurry Pump","Slurry Pump","Slurry Pump","Slurry Pump","Slurry Pump"
"card.card_clayquarry.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_ClayQuarry.asset. Non-English values are placeholders until reviewed.","A crude pump that pulls ceramic slurry from flooded lower levels.","粗制水泵，从被淹的下层抽取陶瓷浆料。","A crude pump that pulls ceramic slurry from flooded lower levels.","A crude pump that pulls ceramic slurry from flooded lower levels.","A crude pump that pulls ceramic slurry from flooded lower levels.","A crude pump that pulls ceramic slurry from flooded lower levels.","A crude pump that pulls ceramic slurry from flooded lower levels.","A crude pump that pulls ceramic slurry from flooded lower levels."
"card.card_furnace.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Furnace.asset. Non-English values are placeholders until reviewed.","Smelter Core","熔炼核心","Smelter Core","Smelter Core","Smelter Core","Smelter Core","Smelter Core","Smelter Core"
"card.card_furnace.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Furnace.asset. Non-English values are placeholders until reviewed.","A controlled furnace for turning raw alloy into usable ingots.","受控熔炉，可把粗合金变成可用合金锭。","A controlled furnace for turning raw alloy into usable ingots.","A controlled furnace for turning raw alloy into usable ingots.","A controlled furnace for turning raw alloy into usable ingots.","A controlled furnace for turning raw alloy into usable ingots.","A controlled furnace for turning raw alloy into usable ingots.","A controlled furnace for turning raw alloy into usable ingots."
"card.card_grandportal.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_GrandPortal.asset. Non-English values are placeholders until reviewed.","Transit Gate","运输门","Transit Gate","Transit Gate","Transit Gate","Transit Gate","Transit Gate","Transit Gate"
"card.card_grandportal.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_GrandPortal.asset. Non-English values are placeholders until reviewed.","A patched access gate to distant city sectors. Every trip comes back changed.","通向远方城市区域的修补入口。每次往返都会带来改变。","A patched access gate to distant city sectors. Every trip comes back changed.","A patched access gate to distant city sectors. Every trip comes back changed.","A patched access gate to distant city sectors. Every trip comes back changed.","A patched access gate to distant city sectors. Every trip comes back changed.","A patched access gate to distant city sectors. Every trip comes back changed.","A patched access gate to distant city sectors. Every trip comes back changed."
"card.card_grave.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Grave.asset. Non-English values are placeholders until reviewed.","Memory Casket","记忆棺","Memory Casket","Memory Casket","Memory Casket","Memory Casket","Memory Casket","Memory Casket"
"card.card_grave.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Grave.asset. Non-English values are placeholders until reviewed.","A sealed casket for bodies and backup drives. Closure is a system need.","用于尸体和备份硬盘的密封棺。告别也是系统需求。","A sealed casket for bodies and backup drives. Closure is a system need.","A sealed casket for bodies and backup drives. Closure is a system need.","A sealed casket for bodies and backup drives. Closure is a system need.","A sealed casket for bodies and backup drives. Closure is a system need.","A sealed casket for bodies and backup drives. Closure is a system need.","A sealed casket for bodies and backup drives. Closure is a system need."
"card.card_hearth.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Hearth.asset. Non-English values are placeholders until reviewed.","Generator","发电机","Generator","Generator","Generator","Generator","Generator","Generator"
"card.card_hearth.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Hearth.asset. Non-English values are placeholders until reviewed.","A low-power generator that keeps the hab lights honest.","低功耗发电机，让居住舱的灯还算诚实。","A low-power generator that keeps the hab lights honest.","A low-power generator that keeps the hab lights honest.","A low-power generator that keeps the hab lights honest.","A low-power generator that keeps the hab lights honest.","A low-power generator that keeps the hab lights honest.","A low-power generator that keeps the hab lights honest."
"card.card_house.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_House.asset. Non-English values are placeholders until reviewed.","Hab Pod","居住舱","Hab Pod","Hab Pod","Hab Pod","Hab Pod","Hab Pod","Hab Pod"
"card.card_house.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_House.asset. Non-English values are placeholders until reviewed.","A shelter pod for district civilians. Small, warm, defensible.","街区平民的庇护舱。小、温暖、易防守。","A shelter pod for district civilians. Small, warm, defensible.","A shelter pod for district civilians. Small, warm, defensible.","A shelter pod for district civilians. Small, warm, defensible.","A shelter pod for district civilians. Small, warm, defensible.","A shelter pod for district civilians. Small, warm, defensible.","A shelter pod for district civilians. Small, warm, defensible."
"card.card_ironmine.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_IronMine.asset. Non-English values are placeholders until reviewed.","Alloy Drill","合金钻机","Alloy Drill","Alloy Drill","Alloy Drill","Alloy Drill","Alloy Drill","Alloy Drill"
"card.card_ironmine.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_IronMine.asset. Non-English values are placeholders until reviewed.","A drilling rig for reinforced deposits. Loud enough to attract trouble.","用于加固矿脉的钻探装置。响到足以招来麻烦。","A drilling rig for reinforced deposits. Loud enough to attract trouble.","A drilling rig for reinforced deposits. Loud enough to attract trouble.","A drilling rig for reinforced deposits. Loud enough to attract trouble.","A drilling rig for reinforced deposits. Loud enough to attract trouble.","A drilling rig for reinforced deposits. Loud enough to attract trouble.","A drilling rig for reinforced deposits. Loud enough to attract trouble."
"card.card_kiln.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Kiln.asset. Non-English values are placeholders until reviewed.","Ceramic Kiln","陶瓷窑","Ceramic Kiln","Ceramic Kiln","Ceramic Kiln","Ceramic Kiln","Ceramic Kiln","Ceramic Kiln"
"card.card_kiln.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Kiln.asset. Non-English values are placeholders until reviewed.","A hot box for curing slurry into hard construction blocks.","把浆料烧结成坚硬建材的热箱。","A hot box for curing slurry into hard construction blocks.","A hot box for curing slurry into hard construction blocks.","A hot box for curing slurry into hard construction blocks.","A hot box for curing slurry into hard construction blocks.","A hot box for curing slurry into hard construction blocks.","A hot box for curing slurry into hard construction blocks."
"card.card_loggingcamp.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_LoggingCamp.asset. Non-English values are placeholders until reviewed.","Recycler Yard","回收场","Recycler Yard","Recycler Yard","Recycler Yard","Recycler Yard","Recycler Yard","Recycler Yard"
"card.card_loggingcamp.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_LoggingCamp.asset. Non-English values are placeholders until reviewed.","A work yard for stripping scrap into usable stock.","把废料拆解成可用库存的作业场。","A work yard for stripping scrap into usable stock.","A work yard for stripping scrap into usable stock.","A work yard for stripping scrap into usable stock.","A work yard for stripping scrap into usable stock.","A work yard for stripping scrap into usable stock.","A work yard for stripping scrap into usable stock."
"card.card_sawmill.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Sawmill.asset. Non-English values are placeholders until reviewed.","Cutter Frame","切割框架","Cutter Frame","Cutter Frame","Cutter Frame","Cutter Frame","Cutter Frame","Cutter Frame"
"card.card_sawmill.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Sawmill.asset. Non-English values are placeholders until reviewed.","A cutting rig for turning scrap stock into clean plates.","把废料库存切成整洁板材的切割装置。","A cutting rig for turning scrap stock into clean plates.","A cutting rig for turning scrap stock into clean plates.","A cutting rig for turning scrap stock into clean plates.","A cutting rig for turning scrap stock into clean plates.","A cutting rig for turning scrap stock into clean plates.","A cutting rig for turning scrap stock into clean plates."
"card.card_sign.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Sign.asset. Non-English values are placeholders until reviewed.","Relay Sign","中继标牌","Relay Sign","Relay Sign","Relay Sign","Relay Sign","Relay Sign","Relay Sign"
"card.card_sign.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_Sign.asset. Non-English values are placeholders until reviewed.","A lit marker and local signal post. It tells crews where home still is.","发光标记兼本地信号柱。它告诉队伍，哪里仍是家。","A lit marker and local signal post. It tells crews where home still is.","A lit marker and local signal post. It tells crews where home still is.","A lit marker and local signal post. It tells crews where home still is.","A lit marker and local signal post. It tells crews where home still is.","A lit marker and local signal post. It tells crews where home still is.","A lit marker and local signal post. It tells crews where home still is."
"card.card_stonequarry.name","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_StoneQuarry.asset. Non-English values are placeholders until reviewed.","Rubble Extractor","碎石提取机","Rubble Extractor","Rubble Extractor","Rubble Extractor","Rubble Extractor","Rubble Extractor","Rubble Extractor"
"card.card_stonequarry.description","Source English from Assets/Fortstack/Resources/Cards/Structures/Card_StoneQuarry.asset. Non-English values are placeholders until reviewed.","A crusher that turns city rubble into circuit-grade salvage.","把城市碎石压碎成电路级回收物的破碎机。","A crusher that turns city rubble into circuit-grade salvage.","A crusher that turns city rubble into circuit-grade salvage.","A crusher that turns city rubble into circuit-grade salvage.","A crusher that turns city rubble into circuit-grade salvage.","A crusher that turns city rubble into circuit-grade salvage.","A crusher that turns city rubble into circuit-grade salvage."
"card.card_bloodchalice.name","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_BloodChalice.asset. Non-English values are placeholders until reviewed.","Bloodchrome Vessel","血铬容器","Bloodchrome Vessel","Bloodchrome Vessel","Bloodchrome Vessel","Bloodchrome Vessel","Bloodchrome Vessel","Bloodchrome Vessel"
"card.card_bloodchalice.description","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_BloodChalice.asset. Non-English values are placeholders until reviewed.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","以生物电献祭为密钥的黑站容器。不要让它无人看管。","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended.","A blacksite vessel keyed to bioelectric sacrifice. Do not leave it unattended."
"card.card_goldenkey.name","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_GoldenKey.asset. Non-English values are placeholders until reviewed.","Root Keycard","Root 密钥卡","Root Keycard","Root Keycard","Root Keycard","Root Keycard","Root Keycard","Root Keycard"
"card.card_goldenkey.description","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_GoldenKey.asset. Non-English values are placeholders until reviewed.","A privileged access card for sealed systems and old authority.","用于密封系统和旧权威的特权访问卡。","A privileged access card for sealed systems and old authority.","A privileged access card for sealed systems and old authority.","A privileged access card for sealed systems and old authority.","A privileged access card for sealed systems and old authority.","A privileged access card for sealed systems and old authority.","A privileged access card for sealed systems and old authority."
"card.card_sacrificialaltar.name","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_SacrificialAltar.asset. Non-English values are placeholders until reviewed.","Blacksite Conduit","黑站导管","Blacksite Conduit","Blacksite Conduit","Blacksite Conduit","Blacksite Conduit","Blacksite Conduit","Blacksite Conduit"
"card.card_sacrificialaltar.description","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_SacrificialAltar.asset. Non-English values are placeholders until reviewed.","A forbidden relay that trades flesh, data, and power for access.","禁忌中继，用血肉、数据和电力交换访问权限。","A forbidden relay that trades flesh, data, and power for access.","A forbidden relay that trades flesh, data, and power for access.","A forbidden relay that trades flesh, data, and power for access.","A forbidden relay that trades flesh, data, and power for access.","A forbidden relay that trades flesh, data, and power for access.","A forbidden relay that trades flesh, data, and power for access."
"card.card_treasurechest.name","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_TreasureChest.asset. Non-English values are placeholders until reviewed.","Encrypted Cache","加密缓存","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache","Encrypted Cache"
"card.card_treasurechest.description","Source English from Assets/Fortstack/Resources/Cards/Valuables/Card_TreasureChest.asset. Non-English values are placeholders until reviewed.","A sealed crate from before the blackout. Useful if you can open it.","断电前留下的密封箱。只要能打开，就很有用。","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it.","A sealed crate from before the blackout. Useful if you can open it."
"recipe.recipe_exploration_fields.name","Source English from Assets/Fortstack/Resources/Recipes/Exploration/Recipe_Exploration_Fields.asset. Non-English values are placeholders until reviewed.","Sweep Blackout Yard","清扫断电工地","Sweep Blackout Yard","Sweep Blackout Yard","Sweep Blackout Yard","Sweep Blackout Yard","Sweep Blackout Yard","Sweep Blackout Yard"
"recipe.recipe_exploration_forest.name","Source English from Assets/Fortstack/Resources/Recipes/Exploration/Recipe_Exploration_Forest.asset. Non-English values are placeholders until reviewed.","Sweep Relay Graveyard","清扫中继墓场","Sweep Relay Graveyard","Sweep Relay Graveyard","Sweep Relay Graveyard","Sweep Relay Graveyard","Sweep Relay Graveyard","Sweep Relay Graveyard"
"recipe.recipe_exploration_graveyard.name","Source English from Assets/Fortstack/Resources/Recipes/Exploration/Recipe_Exploration_Graveyard.asset. Non-English values are placeholders until reviewed.","Sweep Memory Pit","清扫记忆坑","Sweep Memory Pit","Sweep Memory Pit","Sweep Memory Pit","Sweep Memory Pit","Sweep Memory Pit","Sweep Memory Pit"
"recipe.recipe_exploration_highlands.name","Source English from Assets/Fortstack/Resources/Recipes/Exploration/Recipe_Exploration_Highlands.asset. Non-English values are placeholders until reviewed.","Sweep Dead Transit Line","清扫死寂轨道线","Sweep Dead Transit Line","Sweep Dead Transit Line","Sweep Dead Transit Line","Sweep Dead Transit Line","Sweep Dead Transit Line","Sweep Dead Transit Line"
"recipe.recipe_exploration_ruins.name","Source English from Assets/Fortstack/Resources/Recipes/Exploration/Recipe_Exploration_Ruins.asset. Non-English values are placeholders until reviewed.","Sweep Ruins Sector","清扫废墟区","Sweep Ruins Sector","Sweep Ruins Sector","Sweep Ruins Sector","Sweep Ruins Sector","Sweep Ruins Sector","Sweep Ruins Sector"
"recipe.recipe_growth_box_berry.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Box_Berry.asset. Non-English values are placeholders until reviewed.","Grow Ration Culture","培育口粮菌株","Grow Ration Culture","Grow Ration Culture","Grow Ration Culture","Grow Ration Culture","Grow Ration Culture","Grow Ration Culture"
"recipe.recipe_growth_box_potato.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Box_Potato.asset. Non-English values are placeholders until reviewed.","Grow Starch Root","培育淀粉根","Grow Starch Root","Grow Starch Root","Grow Starch Root","Grow Starch Root","Grow Starch Root","Grow Starch Root"
"recipe.recipe_growth_box_turnip.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Box_Turnip.asset. Non-English values are placeholders until reviewed.","Grow Root Ration","培育根茎口粮","Grow Root Ration","Grow Root Ration","Grow Root Ration","Grow Root Ration","Grow Root Ration","Grow Root Ration"
"recipe.recipe_growth_farm_berry.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Farm_Berry.asset. Non-English values are placeholders until reviewed.","Farm Ration Culture","农场培育口粮菌株","Farm Ration Culture","Farm Ration Culture","Farm Ration Culture","Farm Ration Culture","Farm Ration Culture","Farm Ration Culture"
"recipe.recipe_growth_farm_potato.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Farm_Potato.asset. Non-English values are placeholders until reviewed.","Farm Starch Root","农场培育淀粉根","Farm Starch Root","Farm Starch Root","Farm Starch Root","Farm Starch Root","Farm Starch Root","Farm Starch Root"
"recipe.recipe_growth_farm_turnip.name","Source English from Assets/Fortstack/Resources/Recipes/Growth/Recipe_Growth_Farm_Turnip.asset. Non-English values are placeholders until reviewed.","Farm Root Ration","农场培育根茎口粮","Farm Root Ration","Farm Root Ration","Farm Root Ration","Farm Root Ration","Farm Root Ration","Farm Root Ration"
"recipe.recipe_anvil.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Anvil.asset. Non-English values are placeholders until reviewed.","Build Fabricator Bench","建造制造工作台","Build Fabricator Bench","Build Fabricator Bench","Build Fabricator Bench","Build Fabricator Bench","Build Fabricator Bench","Build Fabricator Bench"
"recipe.recipe_apple.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Apple.asset. Non-English values are placeholders until reviewed.","Print Synth Apple","打印合成苹果","Print Synth Apple","Print Synth Apple","Print Synth Apple","Print Synth Apple","Print Synth Apple","Print Synth Apple"
"recipe.recipe_appletree.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_AppleTree.asset. Non-English values are placeholders until reviewed.","Assemble Hydro Orchard","组装水培果园","Assemble Hydro Orchard","Assemble Hydro Orchard","Assemble Hydro Orchard","Assemble Hydro Orchard","Assemble Hydro Orchard","Assemble Hydro Orchard"
"recipe.recipe_baby.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Baby.asset. Non-English values are placeholders until reviewed.","Register Dependent","登记受抚养者","Register Dependent","Register Dependent","Register Dependent","Register Dependent","Register Dependent","Register Dependent"
"recipe.recipe_bakedpotato_1.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_BakedPotato_1.asset. Non-English values are placeholders until reviewed.","Heat Starch Block","加热淀粉块","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block"
"recipe.recipe_bakedpotato_2.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_BakedPotato_2.asset. Non-English values are placeholders until reviewed.","Heat Starch Block","加热淀粉块","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block","Heat Starch Block"
"recipe.recipe_berry.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Berry.asset. Non-English values are placeholders until reviewed.","Recover Ration Pack","回收口粮包","Recover Ration Pack","Recover Ration Pack","Recover Ration Pack","Recover Ration Pack","Recover Ration Pack","Recover Ration Pack"
"recipe.recipe_berrybush.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_BerryBush.asset. Non-English values are placeholders until reviewed.","Seed Supply Cache","播种补给缓存","Seed Supply Cache","Seed Supply Cache","Seed Supply Cache","Seed Supply Cache","Seed Supply Cache","Seed Supply Cache"
"recipe.recipe_bonfire.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Bonfire.asset. Non-English values are placeholders until reviewed.","Build Heat Coil","建造热能线圈","Build Heat Coil","Build Heat Coil","Build Heat Coil","Build Heat Coil","Build Heat Coil","Build Heat Coil"
"recipe.recipe_bow.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Bow.asset. Non-English values are placeholders until reviewed.","Assemble Coilbow","组装线圈弓","Assemble Coilbow","Assemble Coilbow","Assemble Coilbow","Assemble Coilbow","Assemble Coilbow","Assemble Coilbow"
"recipe.recipe_brick_1.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Brick_1.asset. Non-English values are placeholders until reviewed.","Cure Heat Brick","烧结热砖","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick"
"recipe.recipe_brick_2.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Brick_2.asset. Non-English values are placeholders until reviewed.","Cure Heat Brick","烧结热砖","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick","Cure Heat Brick"
"recipe.recipe_cane.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Cane.asset. Non-English values are placeholders until reviewed.","Assemble Signal Cane","组装信号手杖","Assemble Signal Cane","Assemble Signal Cane","Assemble Signal Cane","Assemble Signal Cane","Assemble Signal Cane","Assemble Signal Cane"
"recipe.recipe_chainmail.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Chainmail.asset. Non-English values are placeholders until reviewed.","Weave Plate Mesh","编织板甲网","Weave Plate Mesh","Weave Plate Mesh","Weave Plate Mesh","Weave Plate Mesh","Weave Plate Mesh","Weave Plate Mesh"
"recipe.recipe_chicken.name","Source English from Assets/Fortstack/Resources/Recipes/Recipe_Chicken.asset. Non-English values are placeholders until reviewed.","Reboot Protein Drone","重启蛋白无人机","Reboot Protein Drone","Reboot Protein Drone","Reboot Protein Drone","Reboot Protein Drone","Reboot Protein Drone","Reboot Protein Drone"
